1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1314.0,0.0,3.0,No,922,Rec,392,294.0,RFn,1957.0,1314,TA,8400.0,70.0,0.0,0.0,6,5,1314.0,1957,1957,145000
1061.0,862.0,3.0,No,674,GLQ,76,564.0,RFn,1992.0,1923,Gd,10186.0,105.0,0.0,39.0,5,7,750.0,1992,1992,190000
990.0,0.0,3.0,No,588,None,402,0.0,None,1984.0,990,TA,8070.0,60.0,0.0,0.0,5,4,990.0,1994,1995,123600
1228.0,0.0,3.0,No,0,Unf,1228,271.0,Unf,1966.0,1228,Gd,8544.0,70.0,0.0,65.0,6,5,1228.0,1966,2006,149350
916.0,0.0,4.0,No,299,ALQ,611,164.0,Unf,1915.0,1826,Ex,2500.0,50.0,0.0,0.0,8,7,910.0,1915,2005,155000
910.0,0.0,4.0,No,507,Rec,403,720.0,Unf,2000.0,1385,TA,8520.0,71.0,0.0,0.0,4,5,910.0,1952,1952,166000
848.0,0.0,1.0,Gd,662,GLQ,186,420.0,Fin,2004.0,848,Gd,4438.0,70.0,169.0,0.0,5,6,848.0,2004,2004,144500
816.0,0.0,2.0,Gd,104,LwQ,0,516.0,Unf,1963.0,816,TA,8472.0,105.0,0.0,0.0,5,5,816.0,1963,1963,110000
702.0,779.0,3.0,No,0,Unf,702,343.0,Fin,1994.0,1481,TA,8125.0,65.0,0.0,36.0,5,6,702.0,1994,1995,174000
943.0,933.0,4.0,No,442,ALQ,459,540.0,RFn,1974.0,1876,Gd,9120.0,76.0,270.0,69.0,6,6,901.0,1974,1974,185000
916.0,826.0,4.0,No,216,BLQ,700,424.0,Unf,1925.0,1742,Gd,17671.0,105.0,0.0,166.875,9,8,916.0,1882,1986,168000
769.0,804.0,3.0,No,378,GLQ,378,440.0,Unf,2000.0,1573,Gd,2117.0,70.0,216.0,32.0,5,6,756.0,2000,2000,177500
630.0,0.0,1.0,Av,131,BLQ,0,0.0,None,1984.0,630,TA,1936.0,33.0,0.0,0.0,6,4,630.0,1970,1970,84500
1698.0,0.0,3.0,No,1234,GLQ,464,768.0,None,2007.0,1698,Ex,13286.0,86.0,340.0,64.0,5,9,1698.0,2007,2008,320000
832.0,384.0,2.0,No,442,Rec,390,336.0,Unf,1947.0,1216,TA,8480.0,80.0,0.0,0.0,5,5,832.0,1947,1950,118500
1776.0,0.0,4.0,No,0,Unf,1584,888.0,Unf,1968.0,1776,TA,11475.0,85.0,95.0,25.0,5,5,1584.0,1958,1958,110000
1006.0,769.0,3.0,No,513,ALQ,227,425.0,None,1993.0,1775,Gd,9317.0,75.0,137.0,72.0,5,7,740.0,1993,1993,213000
912.0,0.0,2.0,Av,773,GLQ,115,470.0,RFn,1978.0,912,TA,7540.0,70.0,0.0,0.0,6,6,888.0,1978,1978,156000
1145.0,0.0,4.0,Av,655,GLQ,490,836.0,RFn,2000.0,2198,Gd,14260.0,84.0,350.0,84.0,5,8,1145.0,2000,2000,250000
2046.0,0.0,3.0,Mn,0,Unf,2046,834.0,Fin,2008.0,2046,Gd,11844.0,80.0,400.625,82.0,5,8,2046.0,2008,2008,372500
729.0,717.0,3.0,Gd,604,GLQ,125,406.0,Unf,1996.0,1446,TA,17695.875,57.0,0.0,22.0,5,7,729.0,1996,1997,175000
1561.0,0.0,2.0,No,1153,GLQ,408,556.0,Fin,2005.0,1561,Ex,7313.0,60.0,246.0,47.0,5,9,1561.0,2005,2005,277500
882.0,0.0,2.8131868131868134,No,138,LwQ,276,461.0,Unf,1980.0,882,TA,7700.0,70.0,0.0,0.0,5,5,882.0,1972,1972,112500
912.0,1182.0,4.0,No,0,Unf,912,615.0,Fin,2003.0,2094,Gd,9375.0,75.0,0.0,166.875,5,7,912.0,2003,2004,263000
1500.0,0.0,3.0,Av,1032,GLQ,431,712.0,RFn,1994.0,2622,Gd,12256.0,98.0,362.0,32.0,5,8,1463.0,1994,1995,325000
2158.0,0.0,4.0,Av,477,ALQ,725,576.0,Unf,1950.0,2158,Gd,12615.0,84.0,0.0,29.0,7,6,1202.0,1950,2001,243000
1360.0,0.0,2.8131868131868134,No,384,ALQ,0,572.0,Unf,1962.0,1360,TA,7134.0,60.0,0.0,50.0,5,5,384.0,1955,1955,130000
1310.0,0.0,3.0,Av,24,GLQ,1286,400.0,Fin,2005.0,1310,Gd,8767.0,65.0,0.0,0.0,5,7,1310.0,2005,2005,164990
1836.0,0.0,3.0,Mn,1039,GLQ,797,862.0,Fin,2004.0,1836,Gd,11362.0,105.0,42.0,166.875,5,8,1836.0,2004,2005,280000
1490.0,1304.0,4.0,No,689,None,773,810.0,Fin,1995.0,2794,Ex,15138.0,105.0,400.625,146.0,5,8,1462.0,1995,1996,403000
1728.0,0.0,6.0,No,40,GLQ,1424,352.0,Unf,2002.0,1728,TA,10624.0,70.0,84.0,0.0,4,5,1728.0,1964,1964,119000
825.0,0.0,2.0,No,180,LwQ,0,720.0,RFn,1963.0,825,TA,8235.0,49.0,0.0,50.0,7,5,825.0,1955,1995,125000
894.0,0.0,3.0,Av,182,LwQ,0,308.0,Unf,1976.0,894,TA,10650.0,75.0,0.0,0.0,6,5,894.0,1976,1976,128200
918.0,765.0,3.0,No,226,LwQ,192,440.0,RFn,1978.0,1683,TA,11184.0,70.0,92.0,0.0,5,6,918.0,1978,1978,172500
930.0,0.0,2.0,None,0,None,0,308.0,Unf,1946.0,930,Gd,11100.0,60.0,0.0,0.0,7,4,0.0,1946,2006,84900
1572.0,1096.0,3.0,Av,1016,GLQ,556,726.0,Fin,2003.0,2668,Ex,13688.0,105.0,400.625,0.0,5,9,1572.0,2003,2004,412500
1073.0,0.0,3.0,No,836,ALQ,237,515.0,RFn,1965.0,1073,TA,10289.0,79.0,168.0,0.0,7,5,1073.0,1965,1965,156000
1334.0,0.0,2.0,No,686,ALQ,664,630.0,RFn,1977.0,1334,TA,9650.0,80.0,360.0,16.0,5,6,1350.0,1977,1977,167900
788.0,0.0,2.0,No,266,Rec,522,0.0,None,1984.0,788,TA,7446.0,70.0,0.0,0.0,5,4,788.0,1941,1950,100000
1644.0,0.0,2.0,Gd,1518,GLQ,0,569.0,Fin,1989.0,1644,Gd,12800.0,70.0,145.0,0.0,5,7,1518.0,1989,1989,275000
872.0,0.0,3.0,No,0,Unf,858,480.0,Unf,1974.0,872,TA,8294.0,70.0,0.0,0.0,5,4,858.0,1971,1971,123000
768.0,664.0,2.0,No,0,Unf,264,360.0,Unf,1910.0,1432,TA,9600.0,60.0,0.0,0.0,7,5,264.0,1910,2002,132000
901.0,900.0,3.0,No,0,Unf,893,800.0,None,2005.0,1801,Gd,10463.0,72.0,0.0,116.0,5,8,893.0,2005,2005,239900
1121.0,0.0,3.0,No,651,Rec,470,480.0,Unf,1963.0,1121,TA,8816.0,80.0,0.0,80.0,6,5,1121.0,1963,1963,139000
789.0,0.0,2.0,No,104,ALQ,516,250.0,Unf,1948.0,789,TA,6000.0,50.0,0.0,0.0,5,5,789.0,1948,1950,115000
1054.0,0.0,3.0,Gd,763,GLQ,173,480.0,RFn,1963.0,1054,Gd,8800.0,80.0,156.0,0.0,7,6,936.0,1963,1963,137500
1048.0,0.0,3.0,No,586,BLQ,462,286.0,Unf,1956.0,1048,TA,10152.0,72.0,120.0,20.0,5,5,1048.0,1956,1956,135000
1236.0,0.0,2.0,No,360,BLQ,710,447.0,Unf,1957.0,1236,Gd,10011.0,72.0,64.0,0.0,6,5,1070.0,1957,1996,134450
1152.0,0.0,3.0,Av,1014,GLQ,138,484.0,RFn,1964.0,1152,TA,14112.0,70.0,86.0,0.0,7,5,1152.0,1964,1964,180500
1679.0,0.0,3.0,No,1138,GLQ,270,575.0,RFn,1994.0,1679,Gd,8125.0,65.0,258.0,42.0,5,6,1408.0,1994,1998,193500
1478.0,0.0,3.0,No,189,ALQ,628,442.0,RFn,1957.0,1478,TA,8400.0,70.0,0.0,0.0,3,6,1478.0,1957,1957,156500
928.0,0.0,2.0,No,377,Rec,551,252.0,Unf,1956.0,928,TA,13300.0,70.0,0.0,0.0,7,5,928.0,1956,2000,132000
846.0,846.0,3.0,Av,0,Unf,846,650.0,RFn,2009.0,1692,Gd,13159.0,83.0,0.0,114.0,5,7,846.0,2009,2009,224500
661.0,589.0,3.0,No,0,Unf,661,552.0,Unf,1985.0,1250,TA,5362.0,53.0,0.0,0.0,6,5,661.0,1910,2003,139000
847.0,886.0,3.0,Gd,0,Unf,847,433.0,Fin,2003.0,1733,Gd,12394.0,70.0,0.0,48.0,5,7,847.0,2003,2003,225000
716.0,716.0,2.8131868131868134,No,425,None,291,432.0,Fin,2004.0,1432,Gd,7795.0,71.0,0.0,51.0,5,7,716.0,2004,2005,188500
1077.0,0.0,2.0,No,851,GLQ,140,205.0,RFn,1939.0,1077,TA,7420.0,50.0,0.0,4.0,6,5,991.0,1939,1950,118000
944.0,0.0,2.0,None,0,None,0,528.0,Unf,1956.0,944,Fa,10206.0,74.0,0.0,0.0,3,3,0.0,1952,1952,82000
1419.0,0.0,2.0,Av,945,None,474,567.0,RFn,2007.0,1419,Gd,8089.0,60.0,0.0,0.0,6,8,1419.0,2007,2007,392000
960.0,0.0,3.0,No,0,Unf,672,288.0,Unf,1956.0,960,TA,8926.0,70.0,0.0,0.0,3,4,672.0,1956,1956,112000
1646.0,0.0,3.0,Av,0,None,1638,870.0,RFn,2007.0,1646,Gd,10656.0,67.0,274.0,80.0,5,8,1638.0,2006,2007,248900
999.0,0.0,3.0,Av,784,BLQ,141,300.0,Unf,1962.0,999,TA,10205.0,69.0,0.0,72.0,5,5,925.0,1962,1962,134500
779.0,0.0,2.0,No,0,Unf,742,308.0,Unf,1988.0,935,TA,9100.0,50.0,0.0,0.0,6,5,742.0,1930,1960,79500
1392.0,1070.0,4.0,Mn,57,GLQ,1335,576.0,RFn,2006.0,2462,Gd,17695.875,105.0,400.625,132.0,5,7,1392.0,2005,2006,320000
1302.0,0.0,3.0,Gd,270,LwQ,452,309.0,RFn,1964.0,1302,Gd,9350.0,85.0,108.0,0.0,7,6,1302.0,1964,1991,158000
936.0,0.0,2.0,Gd,936,GLQ,0,672.0,Unf,1980.0,936,TA,7200.0,60.0,180.0,0.0,5,5,936.0,1980,1980,140000
864.0,0.0,3.0,No,646,ALQ,218,336.0,Unf,1978.0,864,TA,7000.0,70.0,90.0,0.0,8,5,864.0,1978,2005,136500
820.0,527.0,3.0,Gd,969,GLQ,148,0.0,None,1984.0,1347,TA,7000.0,70.0,0.0,0.0,7,5,1117.0,1910,1991,107500
990.0,0.0,3.0,No,686,GLQ,304,672.0,Unf,1996.0,990,TA,9245.0,57.0,0.0,0.0,5,5,990.0,1994,1995,145000
1636.0,971.0,3.0,No,152,Rec,977,0.0,None,1984.0,3086,Ex,17695.875,105.0,0.0,0.0,6,5,1598.0,1946,1994,200500
1337.0,0.0,3.0,Mn,699,GLQ,638,531.0,RFn,2003.0,1337,Gd,8450.0,65.0,0.0,39.0,5,7,1337.0,2003,2003,185000
694.0,0.0,3.0,No,0,Unf,672,936.0,Unf,1998.0,1214,TA,10410.0,60.0,0.0,0.0,4,3,672.0,1915,1950,105000
1368.0,0.0,2.0,No,0,Unf,1368,474.0,None,2005.0,1368,Gd,6792.0,40.0,94.0,35.0,5,7,1368.0,2005,2006,202665
1212.0,0.0,3.0,Mn,36,GLQ,1176,460.0,RFn,2009.0,1212,Gd,10420.0,83.0,0.0,22.0,5,6,1212.0,2009,2009,186000
1080.0,0.0,3.0,No,570,BLQ,510,288.0,Unf,1958.0,1080,TA,9464.0,75.0,135.0,0.0,7,6,1080.0,1958,1958,136000
804.0,878.0,3.0,No,505,GLQ,299,523.0,RFn,1998.0,1682,Gd,8750.0,70.0,116.0,77.0,5,6,804.0,1998,1998,200500
790.0,784.0,3.0,Mn,712,GLQ,84,566.0,Fin,1976.0,1574,TA,17695.875,70.0,120.0,111.0,5,6,796.0,1976,1976,190000
691.0,807.0,3.0,No,592,ALQ,99,409.0,Fin,1995.0,1498,TA,13031.0,70.0,0.0,44.0,5,6,691.0,1995,1996,187500
920.0,941.0,3.0,No,700,GLQ,216,492.0,RFn,2002.0,1861,Gd,13450.0,95.0,0.0,91.0,5,7,916.0,2002,2002,200000
1258.0,0.0,2.0,Av,0,Unf,1258,648.0,Fin,2007.0,1258,Gd,3922.0,53.0,72.0,16.0,5,7,1258.0,2006,2007,172500
1253.0,0.0,2.8131868131868134,No,733,BLQ,520,352.0,RFn,1960.0,1253,TA,10920.0,70.0,212.0,166.875,5,6,1253.0,1960,1960,157000
1484.0,0.0,3.0,Av,712,GLQ,761,606.0,RFn,2004.0,1484,Gd,8400.0,70.0,109.0,35.0,5,7,1473.0,2004,2005,213000
1163.0,511.0,4.0,Mn,0,Unf,1163,396.0,Fin,1955.0,1674,TA,17695.875,66.0,0.0,36.0,7,6,1163.0,1918,1950,185000
864.0,0.0,3.0,No,191,ALQ,673,463.0,Unf,1994.0,864,TA,8120.0,70.0,0.0,0.0,7,4,864.0,1970,1970,124500
1128.0,445.0,3.0,No,0,Unf,1078,360.0,Unf,1930.0,1573,TA,6240.0,52.0,0.0,0.0,7,5,1078.0,1930,1992,162900
1734.0,0.0,3.0,Av,1300,GLQ,434,660.0,None,2005.0,1734,Gd,11645.0,78.0,0.0,24.0,5,7,1734.0,2005,2005,260000
495.0,1427.0,4.0,None,0,None,0,672.0,RFn,2003.0,1922,Gd,7301.0,64.0,400.625,0.0,5,7,0.0,2003,2003,198500
1340.0,0.0,3.0,None,0,None,0,252.0,None,1957.0,1340,TA,9060.0,60.0,98.0,0.0,6,5,0.0,1957,2006,120000
698.0,728.0,3.0,No,535,BLQ,155,440.0,Fin,1977.0,1426,TA,7950.0,75.0,140.0,0.0,6,6,690.0,1977,1977,159500
720.0,0.0,2.0,No,0,Unf,624,484.0,Unf,2005.0,720,TA,8520.0,60.0,0.0,0.0,8,6,624.0,1928,2003,105900
1301.0,1116.0,4.0,No,0,Unf,1288,462.0,Unf,1991.0,2417,Gd,16059.0,105.0,284.0,82.0,5,8,1288.0,1991,1992,260000
796.0,566.0,1.0,No,732,GLQ,64,480.0,Unf,1993.0,1362,TA,14115.0,85.0,0.0,30.0,5,5,796.0,1993,1995,143000
951.0,0.0,2.0,No,285,ALQ,666,327.0,Unf,1936.0,951,TA,8765.0,50.0,0.0,28.0,6,4,951.0,1936,1950,106500
783.0,701.0,3.0,No,0,None,783,393.0,Fin,2005.0,1484,Gd,10237.0,65.0,0.0,72.0,5,6,783.0,2005,2007,178900
773.0,582.0,3.0,No,0,Unf,684,0.0,None,1984.0,1355,Gd,6882.0,60.0,0.0,0.0,7,6,684.0,1914,2006,127000
694.0,0.0,2.8131868131868134,No,365,LwQ,75,352.0,Unf,1990.0,694,Gd,4280.0,40.0,0.0,0.0,6,5,440.0,1913,2002,90350
1029.0,0.0,3.0,Mn,903,Rec,126,261.0,Unf,1961.0,1029,TA,7943.0,61.0,192.0,0.0,5,4,1029.0,1961,1961,118500
1097.0,896.0,4.0,No,416,Rec,409,495.0,RFn,1971.0,1993,TA,14803.0,70.0,252.0,66.0,5,6,825.0,1971,1971,190000
793.0,325.0,3.0,Mn,507,Rec,286,410.0,Unf,1939.0,1118,TA,7800.0,65.0,0.0,0.0,7,5,793.0,1939,1950,119900
713.0,739.0,3.0,No,450,GLQ,241,506.0,Unf,1999.0,1452,Gd,3735.0,35.0,218.0,34.0,5,7,691.0,1999,1999,183900
804.0,744.0,3.0,No,556,None,248,440.0,Unf,1976.0,1548,Gd,2308.0,33.0,0.0,0.0,6,6,804.0,1976,1976,155000
2190.25,0.0,3.0,Gd,56,GLQ,2336,968.0,Fin,2003.0,2392,Ex,13472.0,103.0,400.625,105.0,5,10,2202.875,2003,2003,386250
1040.0,0.0,3.0,No,824,ALQ,216,308.0,Fin,1963.0,1040,TA,7500.0,75.0,0.0,0.0,5,5,1040.0,1963,1963,133000
1182.0,960.0,2.8131868131868134,No,448,Rec,448,509.0,Fin,1968.0,2142,Gd,13000.0,100.0,400.625,72.0,6,6,896.0,1968,1968,193500
1088.0,871.0,3.0,Av,0,Unf,1088,976.875,RFn,2006.0,1959,Gd,9000.0,75.0,0.0,46.0,5,8,1088.0,2006,2006,270000
1080.0,0.0,3.0,No,680,GLQ,400,0.0,None,1984.0,1080,Gd,7500.0,63.0,120.0,0.0,5,7,1080.0,2004,2005,141000
703.0,689.0,2.0,No,0,Unf,689,540.0,Unf,2007.0,1392,Gd,3604.0,34.0,0.0,102.0,5,7,689.0,2007,2007,146000
988.0,0.0,3.0,No,827,Rec,161,572.0,Unf,1963.0,988,TA,9945.0,70.0,57.0,0.0,5,5,988.0,1961,1961,128500
1098.0,880.0,4.0,No,552,BLQ,280,486.0,RFn,1968.0,1978,TA,9900.0,70.0,342.0,43.0,5,7,832.0,1968,1968,176000
1588.0,0.0,2.8131868131868134,Av,1162,ALQ,426,472.0,RFn,1999.0,1588,Gd,10264.0,78.0,183.0,29.0,5,7,1588.0,1999,1999,214000
1478.0,0.0,2.0,Av,578,GLQ,892,484.0,Fin,2009.0,1478,Gd,4403.0,70.0,400.625,144.0,5,7,1470.0,2009,2009,222000
2121.0,0.0,3.0,Gd,0,Unf,2121,732.0,Fin,2007.0,2121,Ex,14450.0,105.0,315.0,98.0,5,9,2121.0,2006,2007,415298
1301.0,0.0,2.0,No,0,Unf,1293,572.0,RFn,2006.0,1301,Gd,7200.0,60.0,0.0,121.0,5,7,1293.0,2006,2006,187750
1241.0,0.0,1.0,No,1106,GLQ,135,569.0,None,2007.0,1241,Gd,4274.0,35.0,0.0,116.0,5,7,1241.0,2006,2007,199900
1523.0,0.0,2.8131868131868134,No,644,ALQ,549,478.0,Fin,1976.0,1523,TA,11361.0,104.0,160.0,0.0,5,6,1193.0,1976,1976,180000
1344.0,0.0,2.8131868131868134,Gd,1309,GLQ,35,784.0,Fin,1997.0,1344,TA,7060.0,78.0,200.0,0.0,5,7,1344.0,1997,1998,206300
1240.0,0.0,2.0,Av,0,Unf,1240,826.0,RFn,2006.0,1240,Gd,8556.0,74.0,0.0,93.0,5,7,1240.0,2006,2006,194000
1120.0,1120.0,6.0,None,0,None,0,528.0,Unf,1979.0,2240,TA,7018.0,64.0,0.0,0.0,5,5,0.0,1979,1979,142953
1440.0,0.0,3.0,No,678,BLQ,762,467.0,Fin,1981.0,1440,Gd,12546.0,70.0,310.0,0.0,7,6,1440.0,1981,1981,182900
864.0,0.0,3.0,No,0,Unf,864,280.0,None,1972.0,864,TA,9353.0,71.0,0.0,0.0,5,4,864.0,1970,1970,116050
1680.0,0.0,3.0,No,144,LwQ,379,583.0,Fin,1998.0,1680,Gd,10140.0,78.0,0.0,73.0,5,7,1650.0,1998,1999,213250
944.0,545.0,3.0,No,0,Unf,778,240.0,Unf,1940.0,1489,TA,9900.0,60.0,0.0,0.0,7,6,778.0,1940,1950,139500
1349.0,0.0,3.0,No,0,None,1349,539.0,Unf,2000.0,1349,TA,8450.0,65.0,108.0,55.0,5,7,1349.0,2000,2001,179000
901.0,0.0,2.0,No,0,Unf,901,281.0,Unf,1954.0,901,TA,6000.0,50.0,0.0,0.0,7,4,901.0,1954,2000,107900
810.0,0.0,3.0,No,387,ALQ,374,484.0,RFn,1992.0,1603,Gd,7153.0,65.0,0.0,124.0,5,6,761.0,1992,1992,175900
1152.0,0.0,3.0,No,0,Unf,1092,300.0,Unf,1950.0,1152,Gd,14000.0,80.0,0.0,36.0,8,6,1092.0,1950,2004,158500
1072.0,0.0,2.0,Gd,547,GLQ,0,525.0,Fin,2005.0,1072,TA,3675.0,35.0,80.0,28.0,5,5,547.0,2005,2005,145000
2190.25,0.0,3.0,Mn,35,None,905,450.0,Unf,1953.0,2259,Gd,17695.875,70.0,184.0,120.0,5,6,1809.0,1953,1953,217000
1040.0,0.0,3.0,Mn,532,LwQ,364,484.0,Unf,1977.0,1040,Gd,8800.0,61.0,0.0,0.0,7,5,1040.0,1977,2008,150500
1258.0,0.0,0.0,Av,1198,None,0,400.0,Unf,1969.0,1258,TA,12900.0,60.0,0.0,0.0,4,4,1198.0,1969,1969,108959
697.0,804.0,3.0,No,518,ALQ,179,420.0,Fin,1993.0,1501,Gd,7685.0,70.0,112.0,63.0,5,6,697.0,1993,1994,165600
1466.0,0.0,3.0,Av,16,GLQ,1450,610.0,Fin,2007.0,1466,Gd,8925.0,73.0,0.0,18.0,5,8,1466.0,2007,2007,201000
1053.0,0.0,3.0,No,806,ALQ,247,312.0,RFn,1959.0,1053,Gd,10007.0,72.0,54.0,0.0,7,5,1053.0,1959,2006,145500
1752.0,0.0,2.0,No,456,GLQ,1296,576.0,RFn,2005.0,1752,Ex,7658.0,61.0,400.625,82.0,5,9,1752.0,2005,2005,319900
1494.0,0.0,3.0,Gd,1443,GLQ,39,514.0,RFn,1998.0,1494,Gd,16196.0,70.0,0.0,25.0,5,7,1482.0,1998,1998,215000
1425.0,0.0,3.0,No,490,None,935,576.0,RFn,1964.0,1425,TA,10175.0,100.0,272.0,0.0,5,6,1425.0,1964,1964,180500
1702.0,0.0,1.0,No,1540,GLQ,162,976.875,Fin,2008.0,1702,Ex,8769.0,65.0,400.625,72.0,5,9,1702.0,2008,2008,367294
1800.0,0.0,2.0,No,0,Unf,1800,702.0,Fin,2007.0,1800,Ex,11923.0,105.0,0.0,136.0,5,9,1800.0,2007,2007,239000
1272.0,928.0,4.0,No,1084,ALQ,188,0.0,None,1984.0,2200,TA,8777.0,67.0,0.0,70.0,7,5,1272.0,1900,2003,145900
833.0,833.0,3.0,No,0,Unf,588,228.0,Unf,1925.0,1666,Gd,5100.0,70.0,0.0,63.0,7,8,588.0,1925,1996,161000
1392.0,1392.0,5.0,No,790,None,133,564.0,RFn,1978.0,2784,Gd,16692.0,80.0,184.0,112.0,5,7,1392.0,1978,1978,250000
1131.0,0.0,2.8131868131868134,No,168,Rec,739,672.0,Unf,1995.0,1131,TA,5925.0,50.0,400.625,72.0,7,4,907.0,1937,2000,89471
792.0,725.0,3.0,No,0,Unf,792,400.0,Unf,1931.0,1517,Gd,11435.0,70.0,0.0,0.0,7,8,792.0,1929,1950,230000
1120.0,0.0,2.8131868131868134,No,206,ALQ,914,0.0,None,1984.0,1120,TA,8402.0,70.0,0.0,30.0,5,5,1120.0,2007,2007,147000
812.0,670.0,3.0,No,0,Unf,384,392.0,Fin,1992.0,1482,Gd,9125.0,70.0,170.0,25.0,5,7,384.0,1992,1992,163900
864.0,0.0,2.0,No,524,ALQ,160,576.0,Unf,1989.0,864,TA,10500.0,70.0,0.0,0.0,6,4,864.0,1971,1971,97000
1188.0,0.0,3.0,No,1000,Rec,188,531.0,RFn,1959.0,1188,TA,12160.0,70.0,180.0,0.0,5,5,1188.0,1959,1959,142000
778.0,798.0,3.0,No,0,Unf,770,614.0,RFn,2006.0,1576,Gd,8125.0,65.0,0.0,50.0,5,7,770.0,2006,2006,197000
960.0,0.0,3.0,Av,789,ALQ,171,576.0,Unf,1970.0,960,TA,9873.0,60.0,160.0,166.875,5,4,960.0,1970,1970,129000
1574.0,0.0,3.0,No,24,GLQ,1550,824.0,RFn,2006.0,1574,Gd,11957.0,75.0,53.0,104.0,5,8,1574.0,2006,2006,232000
997.0,0.0,3.0,No,0,Unf,793,0.0,None,1984.0,1517,Fa,8500.0,85.0,0.0,0.0,7,5,793.0,1919,2005,115000
1464.0,0.0,3.0,Av,444,ALQ,76,480.0,RFn,1997.0,1464,TA,12886.0,70.0,0.0,0.0,6,5,520.0,1963,1999,175000
1277.0,1067.0,3.0,No,0,Unf,1264,889.0,RFn,1996.0,2344,Gd,10208.0,79.0,400.625,0.0,5,7,1264.0,1996,1997,265000
1358.0,0.0,2.0,Av,720,GLQ,638,484.0,RFn,2004.0,1358,Gd,8198.0,59.0,146.0,30.0,5,7,1358.0,2004,2004,207000
948.0,742.0,3.0,No,0,Unf,924,463.0,RFn,2000.0,1690,TA,8063.0,70.0,0.0,48.0,5,6,924.0,2000,2000,181000
1382.0,0.0,3.0,Gd,672,Rec,0,884.0,Unf,1991.0,1382,TA,17695.875,105.0,399.0,0.0,5,6,1362.0,1962,1962,176000
888.0,676.0,3.0,No,0,Unf,650,476.0,Unf,1980.0,1564,TA,8400.0,70.0,130.0,50.0,6,6,650.0,1980,1981,171000
1306.0,0.0,1.0,Av,900,ALQ,406,624.0,None,2005.0,1306,Gd,5381.0,34.0,135.0,63.0,5,6,1306.0,2005,2005,196000
1137.0,0.0,2.0,No,980,GLQ,92,551.0,Unf,1987.0,1137,Gd,13811.0,54.0,72.0,0.0,6,6,1112.0,1987,1987,176000
988.0,0.0,2.0,No,0,None,988,520.0,RFn,1954.0,988,TA,17695.875,100.0,0.0,0.0,5,5,988.0,1954,1954,113000
576.0,533.0,3.0,Av,349,ALQ,23,288.0,Unf,1971.0,1109,TA,10500.0,70.0,82.0,0.0,7,5,372.0,1971,2005,139000
